loss,mass,count,frequency
CHClS,79.948748712,1,2.1213406873143826E-4
C4HO2PS,143.94348690200002,1,2.1213406873143826E-4
CHNO,43.005813652,28,0.01080860252637525
C6H8O3S,160.01941511599998,1,2.1213406873143826E-4
C4N4S,135.984367,1,2.1213406873143826E-4
C4H2O2S,113.977550304,2,4.2426813746287653E-4
C10HClS,187.948748712,3,6.364022061943148E-4
C3H7,43.054775224,2,4.2426813746287653E-4
C9H2O2,142.005479304,1,2.1213406873143826E-4
C3H2O2,70.005479304,3,6.364022061943148E-4
C4H6O3S,134.003765052,1,2.1213406873143826E-4
C4H2,50.015650064,2,4.2426813746287653E-4
C8HN9O3,271.02023489199996,1,2.1213406873143826E-4
C6H6S,110.019021192,5,0.0010606703436571913
C2H5,29.039125159999998,1,2.1213406873143826E-4
H3N,17.026549096,16,0.00771478045748137
C8H8OS,152.029585876,1,2.1213406873143826E-4
C7H15NO,129.1153641,2,4.2426813746287653E-4
C6H12N2,112.10004838399999,2,4.2426813746287653E-4
C10H12S,164.065971384,1,2.1213406873143826E-4
C3H3NO,69.021463716,4,8.485362749257531E-4
C6H4O2S,139.993200368,1,2.1213406873143826E-4
C2H6N2,58.053098192,3,6.364022061943148E-4
C4H8N3O2P,161.03541312599998,1,2.1213406873143826E-4
C4N2S,107.978219,1,2.1213406873143826E-4
C7H2ClN3S,194.965795744,1,2.1213406873143826E-4
CS,43.972071,16,0.0033941450997030122
C4H4O2,84.021129368,2,4.2426813746287653E-4
H4N4OS,108.01058174799999,1,2.1213406873143826E-4
C7H7NOS,153.024834844,1,2.1213406873143826E-4
C13H19NO,205.146664228,1,2.1213406873143826E-4
C8H4N4O,172.038510748,1,2.1213406873143826E-4
C8H5N,115.04219916,1,2.1213406873143826E-4
C2H4O,44.026214748,14,0.002969876962240136
C7H8S,124.034671256,1,2.1213406873143826E-4
C3H4N2S,100.009519128,2,4.2426813746287653E-4
CHN3,55.017047032,2,4.2426813746287653E-4
C5H7NO3,129.04259308399998,1,2.1213406873143826E-4
C10H11NO4S,241.040878832,1,2.1213406873143826E-4
C3H3N,53.026549096,1,2.1213406873143826E-4
C3H6N2OS,118.020083812,1,2.1213406873143826E-4
C2HCl,59.976677712,1,2.1213406873143826E-4
C3H2O3,86.000393924,16,0.0033941450997030122
C14H22N2O5,298.152871804,1,2.1213406873143826E-4
C2H4S,60.003371128,3,6.364022061943148E-4
C8H4F2N2,166.034254568,1,2.1213406873143826E-4
C5H7N3,109.06399722399999,1,2.1213406873143826E-4
C10H7NO2,173.047678464,1,2.1213406873143826E-4
C4FNOS,128.96846284,1,2.1213406873143826E-4
C5H11N,85.08914935199999,5,0.0010606703436571913
C2HClO,75.971592332,1,2.1213406873143826E-4
C4H7N,69.057849224,3,6.364022061943148E-4
C4H6N2S,114.02516919199999,1,2.1213406873143826E-4
C7HFN2O,148.007290872,1,2.1213406873143826E-4
C4HN3,91.017047032,2,4.2426813746287653E-4
C4H5NO,83.03711378,5,0.0010606703436571913
CHN,27.010899031999998,25,0.01172638067968261
C2H7O3PS,141.985351714,5,0.0010606703436571913
C9H2O4,173.995308544,1,2.1213406873143826E-4
C9H18S2,190.084992576,1,2.1213406873143826E-4
C3H4OS,87.998285748,1,2.1213406873143826E-4
H3NO,33.021463716,1,2.1213406873143826E-4
C5H11NOS,133.056134972,2,4.2426813746287653E-4
C6H6,78.046950192,16,0.0034023316464539006
C9H12N2O,164.094963004,1,2.1213406873143826E-4
C5H5NO2S,143.0040994,1,2.1213406873143826E-4
CO2S,75.96190024,2,4.2426813746287653E-4
C10H6S,158.019021192,1,2.1213406873143826E-4
C3H3NO2,85.016378336,2,4.2426813746287653E-4
C14H12S,212.065971384,1,2.1213406873143826E-4
C5H5N5,135.05449516,1,2.1213406873143826E-4
C2H5O2PS,123.97478702999999,1,2.1213406873143826E-4
C3H4N2,68.037448128,1,2.1213406873143826E-4
C6H10O5,162.05282341999998,4,8.485362749257531E-4
CH10N2OS,98.05138394,1,2.1213406873143826E-4
C21H14O4S,362.061279928,1,2.1213406873143826E-4
HCl2,70.945530392,1,2.1213406873143826E-4
C2H5NS,75.01427016,2,4.2426813746287653E-4
C4N2OS,123.97313362,2,4.2426813746287653E-4
COS,59.96698562,8,0.0016970725498515061
C2H9N3O,91.07456190799999,1,2.1213406873143826E-4
CH3,15.023475096,14,0.006417416825360677
C8H16O2S,176.087100752,1,2.1213406873143826E-4
C2H5ClFN5,153.02175105999999,1,2.1213406873143826E-4
C3H7Cl2FNO2S,209.955858044,1,2.1213406873143826E-4
C4H8OS2,136.001656876,1,2.1213406873143826E-4
HO2P,63.971415902,2,4.2426813746287653E-4
C2H4O2,60.021129368,25,0.005217267978580829
C5H2N8S,206.01231306399998,1,2.1213406873143826E-4
C7H12ClNO4,209.04548554399997,1,2.1213406873143826E-4
CH4O,32.026214748,19,0.004030547305897327
H4NO,34.029288748,1,2.1213406873143826E-4
C3H8N2,72.06874825599999,1,2.1213406873143826E-4
C12H15NO3,221.10519333999997,1,2.1213406873143826E-4
C9H2O2S2,205.949621304,1,2.1213406873143826E-4
C3H5NOS,103.00918478,1,2.1213406873143826E-4
C7F2S,153.96887744,1,2.1213406873143826E-4
C2H3NO2S,104.988449336,1,2.1213406873143826E-4
C2H18O4S2,170.064651056,1,2.1213406873143826E-4
C2H4O2S,91.993200368,1,2.1213406873143826E-4
CH6N2,46.053098192,1,2.1213406873143826E-4
C5H2OS,109.982635684,1,2.1213406873143826E-4
C2O2,55.98982924,7,0.001484938481120068
C2H3N3S,101.00476809599999,1,2.1213406873143826E-4
C3H2N2,66.021798064,2,4.2426813746287653E-4
C5H4N4O,136.038510748,1,2.1213406873143826E-4
C3S,67.972071,1,2.1213406873143826E-4
C2H6N2S,90.02516919199999,2,4.2426813746287653E-4
CHNO3S,106.96771389199999,1,2.1213406873143826E-4
C8H4N2S,160.009519128,1,2.1213406873143826E-4
C3H2N2O4,130.001456544,1,2.1213406873143826E-4
C7H7ClS,157.995698904,1,2.1213406873143826E-4
C5H9F3N2,154.071782948,1,2.1213406873143826E-4
CH3O,31.018389716,3,6.364022061943148E-4
C5H8O,84.057514876,3,6.364022061943148E-4
C3HOPS,115.948572282,1,2.1213406873143826E-4
CH4O2,48.021129368,1,2.1213406873143826E-4
C8H8,104.062600256,3,6.364022061943148E-4
C12H7NOS2,244.996905844,1,2.1213406873143826E-4
C13H12OS,216.060886004,1,2.1213406873143826E-4
C4H2Cl2NO2P,196.92002029399998,1,2.1213406873143826E-4
C3H4ClP,105.973914438,1,2.1213406873143826E-4
C5H2O2,94.005479304,1,2.1213406873143826E-4
C2H4,28.031300127999998,25,0.011914065541872463
C4H11O3PS,170.01665184200002,1,2.1213406873143826E-4
C6H2,74.015650064,6,0.0012728044123886295
CH4S,48.003371128,13,0.0027577428935086977
C2H3,27.023475096,1,2.1213406873143826E-4
C3H8S,76.034671256,2,4.2426813746287653E-4
C9H12OS,168.060886004,1,2.1213406873143826E-4
C3ClN,84.97192668,1,2.1213406873143826E-4
C3H7NS,89.029920224,1,2.1213406873143826E-4
C8HN,111.010899032,2,4.2426813746287653E-4
C5H7N3O,125.058911844,3,6.364022061943148E-4
C4H5NO2S,131.0040994,3,6.364022061943148E-4
C4H6FN3O2,147.044404652,1,2.1213406873143826E-4
H6N3,48.056172192,1,2.1213406873143826E-4
C4H4O,68.026214748,3,6.364022061943148E-4
C7H13N,111.10479941599999,3,6.364022061943148E-4
H3OS,50.990460716,1,2.1213406873143826E-4
C7H4ClNO3S,216.960041668,2,4.2426813746287653E-4
C8H14S,142.081621448,1,2.1213406873143826E-4
C3HNO4,114.990557512,1,2.1213406873143826E-4
