"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C7H6O2","122.036779432","0.2857143","0.85714287","0.0","3.5","5.0"
"C9H6","114.046950192","0.0","0.6666667","0.0","11.25","7.0"
"C11H10O2","174.06807956","0.18181819","0.90909094","0.0","5.5","7.0"
"C10H8O2","160.052429496","0.2","0.8","0.0","5.0","7.0"
"C14H16O4","248.104858992","0.2857143","1.1428572","0.0","3.5","7.0"
"C19H17NO4","323.115758024","0.2631579","0.8947368","0.05263158","5.0","12.0"
"C18H13NO3","291.089543276","0.22222222","0.7222222","0.055555556","6.3333335","13.0"
"C17H13NO3","279.089543276","0.23529412","0.7647059","0.05882353","6.0","12.0"
"C18H15NO4","309.10010796","0.2777778","0.8333333","0.055555556","4.75","12.0"
"C8H6","102.046950192","0.0","0.75","0.0","10.0","6.0"
"C10H8O","144.057514876","0.1","0.8","0.0","10.0","7.0"
"C11H9NO2","187.063328528","0.27272728","0.8181818","0.09090909","6.0","8.0"
"C17H15NO2","265.11027872","0.1764706","0.88235295","0.05882353","9.0","11.0"
"C7H6O","106.041864812","0.14285715","0.85714287","0.0","7.0","5.0"
"C9H8O","132.057514876","0.11111111","0.8888889","0.0","9.0","6.0"
"C7H6O2","122.036779432","0.2857143","0.85714287","0.0","3.5","5.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C9H10O2","150.06807956","0.22222222","1.1111112","0.0","4.5","5.0"
"C5H4","64.031300128","0.0","0.8","0.0","6.25","4.0"
"C6H6O2","110.036779432","0.33333334","1.0","0.0","3.0","4.0"
"C6H4O","92.026214748","0.16666667","0.6666667","0.0","6.0","5.0"
"C7H6O3","138.03169405199998","0.42857143","0.85714287","0.0","2.3333333","5.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C10H10O4","194.0579088","0.4","1.0","0.0","2.5","6.0"
"C9H7NO","145.052763844","0.22222222","0.7777778","0.11111111","10.0","7.0"
"C8H7N","117.057849224","0.125","0.875","0.125","11.25","6.0"
"C9H9NO2","163.063328528","0.33333334","1.0","0.11111111","5.0","6.0"
"C3H6N2","70.053098192","0.6666667","2.0","0.6666667","6.25","2.0"
"C9H12N2O2","180.089877624","0.44444445","1.3333334","0.22222222","5.5","5.0"
"C4H8N2O4","148.048406736","1.5","2.0","0.5","1.5","2.0"
"C2H5O2PS","123.97478702999999","2.0","2.5","1.0","2.0","1.0"
"HO2P","63.971415902","3.75","1.25","1.25","0.5","1.0"
"H2NOP","62.987400314","3.75","2.5","2.5","2.0","1.0"
"CH4NO2P","92.99796499799999","4.0","4.0","2.0","1.5","1.0"
"CH3O2P","77.98706596599999","3.0","3.0","1.0","1.0","1.0"
"C6H9N","95.073499288","0.16666667","1.5","0.16666667","8.75","3.0"
"C4H7N","69.057849224","0.25","1.75","0.25","6.25","2.0"
"C6H11N","97.08914935199999","0.16666667","1.8333334","0.16666667","8.75","2.0"
"C15H24N2","232.19394876799998","0.13333334","1.6","0.13333334","21.25","5.0"
"C7H5NO3","151.02694301999998","0.5714286","0.71428573","0.14285715","2.6666667","6.0"
"C7H5I2NO3","404.83588901999997","0.85714287","0.71428573","0.42857143","3.3333333","5.0"
"C16H12","204.093900384","0.0","0.75","0.0","20.0","11.0"
"C18H14","230.109550448","0.0","0.7777778","0.0","22.5","12.0"
"C19H19N","261.151749608","0.05263158","1.0","0.05263158","25.0","11.0"
"C21H21N","287.16739967200004","0.04761905","1.0","0.04761905","27.5","12.0"
"C32H37N","435.29260018400004","0.03125","1.15625","0.03125","41.25","15.0"
"C17H14","218.109550448","0.0","0.8235294","0.0","21.25","11.0"
"C18H19N","249.151749608","0.055555556","1.0555556","0.055555556","23.75","10.0"
"C9H8","116.062600256","0.0","0.8888889","0.0","11.25","6.0"
"C11H10","142.07825032","0.0","0.90909094","0.0","13.75","7.0"
"C11H12O","160.088815004","0.09090909","1.0909091","0.0","11.0","6.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C11H14","146.109550448","0.0","1.2727273","0.0","13.75","5.0"
"C14H18O","202.135765196","0.071428575","1.2857143","0.0","14.0","6.0"
"C19H21NO","279.16231429199996","0.10526316","1.1052631","0.05263158","20.0","10.0"
"C10H8","128.062600256","0.0","0.8","0.0","12.5","7.0"
